id,project_name,start_time,duration(s),cpu_power_consumption(kWh),ram_power_consumption(kWh),power_consumption(kWh),CO2_emissions(kg),CPU_name,OS,region/country
1d61ace4-ba3e-4485-976b-03989988d5f2,Default project name,2023-04-23 23:52:07,11.534222841262816,1.5117023562436951e-06,7.750699529348519e-08,1.5892093515371806e-06,9.941664616691689e-07,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,Windows,IN/Andhra Pradesh
5c430e95-db61-4cec-a59b-aa312c14ff6d,Default project name,2023-04-23 23:52:34,18.488662242889404,1.3793407149631378e-06,1.229393634131763e-07,1.502280078376314e-06,9.39785855470106e-07,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,Windows,IN/Andhra Pradesh
4c7ecf97-ca52-425c-bed8-58387ab59802,Default project name,2023-04-23 23:52:01,81.83356022834778,3.317980850299449e-05,8.100562763710665e-07,3.398986477936556e-05,2.1263141679622047e-05,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,Windows,IN/Andhra Pradesh
74391eb9-c593-4889-8971-a15a38a31b5f,Default project name,2023-04-24 00:00:14,11.743144989013672,9.4700785266075e-07,1.1217839973028277e-07,1.0591862523910328e-06,6.625983214670156e-07,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,Windows,IN/Andhra Pradesh
366a8262-467e-4409-80e8-d38dd07ed4a6,Default project name,2023-04-24 00:02:32,11.642173528671265,1.062801246590594e-06,1.1215054368705065e-07,1.1749517902776447e-06,7.35018116299357e-07,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,Windows,IN/Andhra Pradesh
106ba7b1-5df6-4357-a06e-e784a81dbf88,Default project name,2023-04-24 00:04:23,9.130225658416748,9.527977408079186e-07,8.68174850457611e-08,1.0396152258536796e-06,6.50355215682964e-07,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,Windows,IN/Andhra Pradesh
babdc9fd-1942-4d84-a7d1-28fe92c3aec0,Default project name,2023-04-24 00:04:45,10.935176849365234,1.5155503822366737e-06,1.0563207093251017e-07,1.6211824531691838e-06,1.0141679707764057e-06,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,Windows,IN/Andhra Pradesh
c4fa38b2-2fbc-49a1-b3bd-733905a147a5,Default project name,2023-08-05 10:04:28,4.776691675186157,3.034804201703859e-07,3.702343458257928e-08,3.405038547529652e-07,2.130100179293767e-07,AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx,Windows,IN/Andhra Pradesh
d68b1cad-142b-49ce-bd03-a9fda91af1bb,Default project name,2023-08-05 10:04:41,4.806945085525513,1.9371343845391377e-07,3.820170357556663e-08,2.319151420294804e-07,1.450798511448081e-07,AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx,Windows,IN/Andhra Pradesh
06c1d4b9-0de2-4a81-b1ab-72a48f54dbc5,Default project name,2023-08-05 10:11:25,5.327314376831055,6.378723593616789e-07,4.371106094159434e-08,6.815834203032732e-07,4.263801849893795e-07,AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx,Windows,IN/Andhra Pradesh
46fccb95-6680-42f9-94b4-e4648c620cb0,Default project name,2023-08-05 10:11:39,6.183273553848267,2.0375269863204082e-07,4.994387411964378e-08,2.536965727516847e-07,1.587057261059896e-07,AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx,Windows,IN/Andhra Pradesh
47c035b8-95c7-4580-b6ff-4e57aa9d1bcb,Default project name,2023-08-05 10:15:08,5.370739459991455,3.1503225583510525e-07,4.415483304399003e-08,3.591870888790953e-07,2.2469774475136226e-07,AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx,Windows,IN/Andhra Pradesh
45c57693-74fd-4275-8754-bdb144212599,Default project name,2023-08-05 10:15:23,5.725605010986328,2.944535443935252e-07,4.653197474738136e-08,3.409855191409065e-07,2.133113341655343e-07,AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx,Windows,IN/Andhra Pradesh
